Disease,Symptom,Medicine,Precaution,Tests,Treatment Duration
Fibromyalgia,"widespread pain, fatigue, sleep disturbances, cognitive issues, burning sensation, fever, frequent urination","Amitriptyline, Duloxetine, Pregabalin","Practice relaxation techniques, Get enough rest, Exercise regularly","Physical examination, Blood tests (to rule out other conditions), Tender point examination",Ongoing (chronic condition)
Fungal infection,"dischromic patches, nodal skin eruptions, skin rash, itching","Clotrimazole, Terbinafine, Ketoconazole","Keep skin clean and dry, Avoid sharing personal items, Wear breathable clothing","Skin scraping, KOH test, Fungal culture",2-4 weeks
Gastritis,"stomach pain, nausea, bloating, loss of appetite, skin rashes, swollen joints, fever","Omeprazole, Ranitidine, Pantoprazole","Avoid spicy foods, Eat smaller meals, Reduce alcohol consumption","Endoscopy, Blood tests (H. pylori antibodies), Stool test",2-4 weeks
Gastroenteritis,"dehydration, diarrhoea, sunken eyes, vomiting","Loperamide, Oral Rehydration Solution, Metronidazole","Stay hydrated, Avoid dairy, Follow good hygiene practices","Stool culture, Blood tests (electrolyte imbalance), Rapid antigen test",1-2 weeks
Gastroesophageal Reflux Disease (GERD),"heartburn, regurgitation, chest pain, intense headaches, nausea, dizziness, fainting","Omeprazole, Esomeprazole, Lansoprazole","Avoid large meals, Don't lie down after eating, Elevate head while sleeping","Endoscopy, pH monitoring, Barium swallow",Ongoing (long-term management)
General Fever,"elevated body temperature, shivering, sweating, feeling weak, headache, joint pain, dehydration, feeling unwell, fever, illness","Paracetamol, Ibuprofen, Aspirin","Stay hydrated, Rest, Keep cool","Physical examination, Blood tests (for infection markers), Blood cultures",1-2 weeks
Generalized Anxiety Disorder,"excessive worry, restlessness, fatigue, muscle tension","Sertraline, Diazepam, Buspirone","Practice mindfulness, Get adequate sleep, Avoid caffeine","Psychological evaluation, Blood tests (Thyroid function)",6-12 months
GERD,"acidity, chest pain, cough, stomach pain, ulcers on tongue, vomiting","Omeprazole, Lansoprazole, Pantoprazole","Avoid acidic foods, Eat smaller meals, Avoid lying down after meals","Endoscopy, pH monitoring, Barium swallow",Ongoing (long-term management)
Heart attack,"breathlessness, chest pain, sweating, vomiting","Aspirin, Clopidogrel, Nitroglycerin","Avoid stress, Exercise regularly, Follow a heart-healthy diet","ECG, Cardiac enzyme tests (troponin), Angiogram","Immediate treatment, followed by lifelong management"
Heart Failure,"shortness of breath, swelling, fatigue, rapid heartbeat, breathing difficulty, joint inflammation, rash","Furosemide, Spironolactone, Lisinopril","Limit salt intake, Monitor fluid retention, Get regular check-ups","Echocardiogram, Chest X-ray, Blood tests (BNP)",Ongoing (chronic condition)
Hepatitis A,"abdominal pain, dark urine, diarrhoea, joint pain, loss of appetite, mild fever, muscle pain, nausea, vomiting, yellowing of eyes, yellowish skin","Immunoglobulin, Ribavirin, Interferon","Avoid contaminated food, Wash hands regularly, Get vaccinated","Liver function tests, Hepatitis A antibody test, Ultrasound",6-8 weeks
Hepatitis A/B/C,"jaundice, fatigue, abdominal pain, dark urine, nausea, loss of appetite, fever, nausea, clay-colored stool","Interferon, Ribavirin, Lamivudine","Avoid alcohol, Practice safe sex, Get vaccinated","Liver function tests, Hepatitis A, B, and C antibody tests, Ultrasound","Variable (depends on type and severity, from months to lifelong)"
Hepatitis B,"abdominal pain, dark urine, fatigue, lethargy, loss of appetite, malaise, receiving blood transfusion, receiving unsterile injections, yellow urine, yellowing of eyes, yellowish skin, itching","Tenofovir, Entecavir, Lamivudine","Avoid sharing needles, Regular liver check-ups, Avoid alcohol","Hepatitis B surface antigen test, Liver function tests, HBV DNA test",Ongoing (lifelong treatment may be needed)
Hepatitis C,"family history, fatigue, loss of appetite, nausea, yellowing of eyes, yellowish skin","Sofosbuvir, Ledipasvir, Ribavirin","Avoid alcohol, Get vaccinated, Regular monitoring of liver health","HCV RNA test, Hepatitis C antibody test, Liver biopsy",Ongoing (lifelong treatment in some cases)
Hepatitis D,"abdominal pain, dark urine, fatigue, joint pain, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin","Interferon, Ribavirin, Lamivudine","Avoid alcohol, Maintain a healthy lifestyle, Get vaccinated","HDV RNA test, Hepatitis D antibody test, Liver function tests",Variable (from months to lifelong treatment)
Hepatitis E,"abdominal pain, acute liver failure, coma, dark urine, fatigue, high fever, joint pain, loss of appetite, nausea, stomach bleeding, vomiting, yellowing of eyes, yellowish skin","Ribavirin, Interferon, Vitamin K","Avoid contaminated water, Maintain proper hygiene, Avoid undercooked food","Hepatitis E antibody test, Liver function tests, Ultrasound",4-6 weeks
HIV/AIDS,"fatigue, fever, swollen lymph nodes, weight loss, recurrent infections, night sweats, chronic diarrhea, mouth ulcers","Zidovudine, Lamivudine, Efavirenz","Practice safe sex, Regular medical check-ups, Avoid sharing needles","HIV antibody test, HIV RNA test, CD4 count",Lifelong treatment
Hypertension,"chest pain, dizziness, headache, lack of concentration, loss of balance","Amlodipine, Losartan, Lisinopril","Reduce salt intake, Exercise regularly, Avoid stress","Blood pressure measurement, Electrocardiogram (ECG), Blood tests (kidney function)",Ongoing (lifelong management)
Hyperthyroidism,"abnormal menstruation, diarrhoea, excessive hunger, fast heart rate, fatigue, irritability, mood swings, muscle weakness, restlessness, sweating, weight loss","Methimazole, Propylthiouracil, Beta-blockers","Monitor thyroid levels, Avoid excessive iodine, Reduce stress","Blood tests (TSH, Free T4, Free T3), Ultrasound, Radioactive iodine uptake test",Variable (from months to lifelong management)
Hypoglycemia,"anxiety, blurred and distorted vision, drying and tingling lips, excessive hunger, fatigue, headache, irritability, nausea, palpitations, slurred speech, sweating, vomiting","Glucose, Glucagon, Dextrose","Monitor blood sugar, Eat small meals frequently, Avoid alcohol","Blood glucose test, Continuous glucose monitoring, Urine test (ketones)",Variable (acute episodes managed with glucose)
Hypothyroidism,"abnormal menstruation, brittle nails, cold hands and feets, depression, dizziness, enlarged thyroid, fatigue, irritability, lethargy, mood swings, puffy face and eyes, swollen extremities, weight gain","Levothyroxine, Liothyronine, Iodine supplements","Take medications as prescribed, Monitor thyroid function, Avoid stress","Blood tests (TSH, Free T4, Free T3), Ultrasound, Radioactive iodine test",Lifelong treatment
Impetigo,"blister, high fever, red sore around nose, skin rash, yellow crust ooze","Mupirocin, Retapamulin, Bacitracin","Keep skin clean and dry, Avoid scratching, Use prescribed ointments","Skin examination, Bacterial culture (to confirm infection)",1-2 weeks
Influenza,"fever, cough, sore throat, fatigue, body aches, chills, congestion","Oseltamivir, Zanamivir, Paracetamol","Get vaccinated, Avoid close contact with sick individuals, Rest and hydrate","Rapid influenza diagnostic tests (RIDT), PCR test, Nasal swab",1-2 weeks
Irritable Bowel Syndrome (IBS),"abdominal pain, diarrhea/constipation, bloating, high fever, confusion, seizures, sensitivity to light","Loperamide, Fiber supplements, Dicyclomine","Avoid trigger foods, Eat smaller meals, Manage stress","Stool test, Colonoscopy, Hydrogen breath test",Ongoing (chronic management)
Jaundice,"abdominal pain, dark urine, fatigue, high fever, vomiting, weight loss, yellowish skin, itching","Ursodeoxycholic acid, Prednisolone, Ribavirin","Avoid alcohol, Drink plenty of water, Avoid fatty foods","Liver function tests, Bilirubin test, Ultrasound","Variable (depends on cause, from weeks to ongoing)"
Kidney Stones,"severe back pain, blood in urine, nausea, frequent urination","Tamsulosin, Ibuprofen, Alfacalcidol","Stay hydrated, Avoid high-oxalate foods, Maintain a healthy diet","Urine test, CT scan, X-ray","1-2 weeks for passing stones, ongoing prevention"
Leukemia,"fatigue, frequent infections, easy bruising, sharp pelvic pain, pain during intercourse, diarrhea","Methotrexate, Vincristine, Doxorubicin","Avoid infections, Get regular blood tests, Eat a balanced diet","Blood tests (CBC, bone marrow biopsy), Imaging tests (CT scan)","Ongoing (depends on type, from months to lifelong management)"
Liver Cancer,"abdominal swelling, jaundice, fatigue","Sorafenib, Lenvatinib, Cisplatin","Avoid alcohol, Regular screenings, Maintain a healthy diet","Ultrasound, CT scan, Liver biopsy","Variable (depends on stage, from months to lifelong)"
Lung Cancer,"persistent cough, chest pain, weight loss, shortness of breath, severe itching, yellowish skin, loss of appetite","Cisplatin, Paclitaxel, Erlotinib","Avoid smoking, Practice good air quality, Regular health check-ups","Chest X-ray, CT scan, Biopsy","Variable (depends on stage, from months to lifelong)"
Malaria,"chills, diarrhoea, headache, high fever, muscle pain, nausea, sweating, vomiting","Chloroquine, Artemisinin, Quinine","Use mosquito repellents, Sleep under nets, Stay in air-conditioned rooms","Blood test (thick and thin smear), Rapid diagnostic test (RDT), PCR test",1-2 weeks
Measles,"fever, cough, runny nose, red eyes, rash starting on the face, high fever, rapid breathing, chest pain","Vitamin A, Paracetamol, Diphenhydramine","Get vaccinated, Avoid close contact with infected individuals, Maintain good hygiene","Clinical diagnosis, Blood tests (measles IgM), PCR test",1-2 weeks
Migraine,"headache, acidity, blurred and distorted vision, depression, excessive hunger, headache, indigestion, irritability, stiff neck, visual disturbances","Sumatriptan, Ibuprofen, Amitriptyline","Avoid triggers, Get adequate rest, Stay hydrated","MRI, CT scan, Blood tests (to rule out other causes)",Variable (episodic treatment with acute management)
Obsessive-Compulsive Disorder (OCD),"intrusive thoughts, compulsive behaviors, anxiety","Fluoxetine, Clomipramine, Sertraline","Seek therapy, Practice relaxation techniques, Avoid stress","Psychological evaluation, Self-reported questionnaires, Brain imaging (in some cases)",Ongoing (lifelong treatment may be required)
Osteoarthritis,"joint pain, stiffness, reduced flexibility, swelling, urine discoloration, severe abdominal pain, vomiting","Paracetamol, Ibuprofen, Diclofenac","Maintain a healthy weight, Exercise regularly, Avoid heavy lifting","X-ray, MRI, Joint aspiration (for fluid analysis)",Ongoing (symptom management)
Osteoporosis,"fragile bones, back pain, loss of height, fractures, blood in urine, sharp back pain, nausea","Calcium, Alendronate, Risedronate","Get regular bone density tests, Eat calcium-rich foods, Avoid smoking","Bone mineral density (BMD) test, X-ray, CT scan",Ongoing (long-term management)
Pancreatic Cancer,"jaundice, weight loss, back pain","Gemcitabine, Nab-paclitaxel, Erlotinib","Avoid alcohol, Maintain a healthy diet, Get regular check-ups","CT scan, MRI, Endoscopic ultrasound, CA 19-9 blood test","Ongoing (depends on stage, from months to years)"
Paralysis (brain hemorrhage),"altered sensorium, headache, vomiting, weakness of one body side","Mannitol, Dexamethasone, Warfarin","Get medical help immediately, Stay calm, Monitor vitals","CT scan, MRI, Blood tests (coagulation profile)","Variable (depends on recovery process, from weeks to lifelong)"
Peptic ulcer disease,"abdominal pain, indigestion, internal itching, loss of appetite, passage of gases, vomiting","Omeprazole, Ranitidine, Sucralfate","Avoid spicy foods, Eat smaller meals, Take medications as prescribed","Endoscopy, H. pylori test, Barium swallow",1-2 months (acute management)
Pneumonia,"breathlessness, chest pain, chills, cough, fast heart rate, fatigue, high fever, malaise, phlegm, rusty sputum, sweating","Amoxicillin, Azithromycin, Levofloxacin","Get vaccinated, Avoid smoking, Rest and hydrate","Chest X-ray, Blood culture, Sputum culture",2-4 weeks (depends on severity)
Polycystic Ovary Syndrome (PCOS),"irregular periods, acne, weight gain, infertility, tremors, slow movements, rigid muscles, poor balance","Metformin, Clomiphene, Spironolactone","Maintain a healthy weight, Exercise regularly, Monitor hormone levels","Blood tests (hormones), Ultrasound, Glucose tolerance test",Ongoing (long-term management)
Prostate Cancer,"urinary issues, pelvic pain, blood in urine, unexplained fatigue, weight changes, mood swings","Finasteride, Dutasteride, Leuprolide","Get regular screenings, Avoid alcohol, Maintain a healthy diet","PSA blood test, Digital rectal exam (DRE), Biopsy","Variable (depends on stage, from months to years)"
Psoriasis,"inflammatory nails, joint pain, silver like dusting, skin peeling, skin rash, small dents in nails","Methotrexate, Calcipotriene, Adalimumab","Avoid triggers, Use moisturizers, Practice stress management","Skin biopsy, Blood tests (for inflammation)",Ongoing (chronic management)
Rheumatoid Arthritis,"joint pain, swelling, stiffness, fatigue, fever, redness, itching, difficulty swallowing","Methotrexate, Sulfasalazine, Hydroxychloroquine","Get regular check-ups, Avoid smoking, Exercise regularly","Blood tests (rheumatoid factor, anti-CCP), X-ray, Ultrasound",Ongoing (lifelong management)
Rickets,"bone pain, delayed growth, skeletal deformities","Vitamin D, Calcium, Phosphate","Get adequate sunlight, Eat a balanced diet, Get regular bone check-ups","Blood tests (vitamin D, calcium, phosphate), X-ray",3-6 months (depends on severity)
Rosacea,"facial redness, swelling, visible blood vessels, difficulty swallowing, chest tightness, coughing blood","Metronidazole, Azelaic acid, Doxycycline","Avoid triggers like heat and stress, Use gentle skincare products, Wear sunscreen","Skin examination, Blood tests (inflammatory markers)",Ongoing (long-term management)
Schizophrenia,"hallucinations, delusions, disorganized speech","Olanzapine, Risperidone, Quetiapine","Seek therapy, Avoid stress, Stay consistent with medication","Psychological evaluation, MRI, CT scan",Ongoing (lifelong treatment)
Skin Cancer,"new moles, skin changes, bleeding lesions, inability to focus, social withdrawal, restlessness","Imiquimod, Doxorubicin, Methotrexate","Wear sunscreen, Avoid tanning beds, Regular skin check-ups","Skin biopsy, Dermoscopy, MRI","Variable (depends on stage, from months to years)"
Sleep Apnea,"loud snoring, gasping during sleep, daytime fatigue, severe dehydration, vomiting, lethargy","CPAP machine, Modafinil, Theophylline","Use a CPAP machine, Avoid alcohol, Sleep on your side","Polysomnography (sleep study), Home sleep apnea test (HSAT)",Ongoing (lifelong management)
Stomach Cancer,"bloating, nausea, weight loss, stomach pain","Cisplatin, Fluorouracil, Docetaxel","Avoid smoking, Limit alcohol intake, Eat a healthy diet","Endoscopy, Biopsy, CT scan","Variable (depends on stage, from months to years)"
Stroke,"sudden numbness, confusion, vision problems, difficulty speaking, persistent fatigue, muscle stiffness, tremors","Aspirin, Clopidogrel, Alteplase","Avoid smoking, Manage blood pressure, Get regular exercise","CT scan, MRI, Carotid ultrasound","Variable (depends on recovery, from weeks to lifelong)"
Tuberculosis,"blood in sputum, breathlessness, chest pain, chills, cough, fatigue, high fever, loss of appetite, malaise, mild fever, phlegm, sweating, swelled lymph nodes, vomiting, weight loss, yellowing of eyes","Isoniazid, Rifampicin, Pyrazinamide","Get vaccinated, Avoid close contact with infected individuals, Regular medical check-ups","Tuberculin skin test (TST), Chest X-ray, Sputum smear microscopy",6-9 months (long-term treatment)
Typhoid,"abdominal pain, belly pain, chills, constipation, diarrhoea, fatigue, headache, high fever, nausea, toxic look (typhos), vomiting","Ciprofloxacin, Azithromycin, Chloramphenicol","Drink clean water, Avoid uncooked food, Maintain good hygiene","Blood culture, Widal test, Stool culture",1-2 weeks (acute treatment)
Ulcerative Colitis,"abdominal pain, rectal bleeding, diarrhea, recurrent infections, slow wound healing, dizziness","Mesalamine, Prednisolone, Azathioprine","Avoid high-fat foods, Stress management, Take prescribed medication","Colonoscopy, Blood tests (inflammation markers), Stool sample",Ongoing (long-term management)
Urinary Tract Infection,"bladder discomfort, burning micturition, continuous feel of urine, foul smell of urine","Nitrofurantoin, Trimethoprim, Cephalexin","Stay hydrated, Avoid holding urine, Practice good hygiene","Urine culture, Urinalysis, Blood tests (if needed)",1-2 weeks (acute treatment)
Urinary Tract Infection (UTI),"frequent urination, burning sensation, cloudy urine","Ciprofloxacin, Amoxicillin, Nitrofurantoin","Drink plenty of water, Avoid tight clothing, Wipe front to back","Urine culture, Urinalysis, Blood tests (if needed)",1-2 weeks (acute treatment)
Varicose veins,"bruising, cramps, fatigue, obesity, prominent veins on calf, swollen blood vessels, swollen legs","Compression stockings, Diosmin, Pentoxifylline","Elevate legs, Avoid prolonged standing, Exercise regularly","Ultrasound, Doppler test, Physical examination",Ongoing (symptom management)
Vitiligo,"white patches of skin, loss of pigment, persistent bloating, nausea, irregular periods","Clobetasol, Tacrolimus, Methotrexate","Protect skin from sun, Avoid stress, Seek medical advice regularly","Physical examination, Skin biopsy, Blood tests (for autoimmune conditions)",Ongoing (long-term management)
Whooping Cough (Pertussis),"severe coughing fits, vomiting, fatigue","Azithromycin, Erythromycin, Clarithromycin","Get vaccinated, Avoid close contact with infected individuals, Cover mouth while coughing","PCR test, Nasal swab, Blood test (for antibodies)",1-2 weeks (acute treatment)
Common Cold,"sneezing, runny nose, sore throat, mild fever","Paracetamol, Ibuprofen, Diphenhydramine","Rest, Drink plenty of fluids, Avoid close contact with sick individuals","Physical examination, PCR test (if needed), Rapid antigen test",3-7 days (self-limiting)
Flu (Influenza),"fever, chills, body aches, fatigue, sore throat","Oseltamivir, Zanamivir, Paracetamol","Get vaccinated, Avoid close contact with sick individuals, Wash hands regularly","PCR test, Rapid antigen test, Chest X-ray (if complications occur)",7-14 days (acute treatment)
Hypertension,"headache, dizziness, blurred vision, chest pain","Lisinopril, Amlodipine, Losartan","Monitor blood pressure, Reduce salt intake, Exercise regularly","Blood pressure measurement, Blood tests (kidney function), ECG",Ongoing (lifelong management)
Diabetes,"excessive thirst, frequent urination, fatigue, weight loss","Metformin, Glibenclamide, Insulin","Monitor blood sugar, Eat a balanced diet, Exercise regularly","Fasting blood glucose, HbA1c, Urine tests (for ketones)",Ongoing (lifelong management)
Food Poisoning,"nausea, vomiting, diarrhea, abdominal pain","Loperamide, Oral rehydration salts, Ciprofloxacin","Drink clean water, Avoid contaminated food, Rest and hydrate","Stool culture, Blood tests (if dehydration is severe), PCR test (if bacterial)",1-2 days (acute treatment)
Headache,"pain in head, sensitivity to light, nausea","Ibuprofen, Acetaminophen, Sumatriptan","Rest in a quiet, dark room, Stay hydrated, Avoid stress","MRI, CT scan, Blood tests (if symptoms persist)",Variable (episodic treatment)
Fever,"high body temperature, sweating, shivering, weakness","Paracetamol, Ibuprofen, Aspirin","Stay hydrated, Rest, Avoid overheating","Blood tests (to identify the cause), Urine test, Chest X-ray (if pneumonia suspected)",3-7 days (self-limiting)
Indigestion,"bloating, nausea, stomach pain, heartburn","Omeprazole, Ranitidine, Antacids","Avoid spicy foods, Eat smaller meals, Avoid late-night eating","Endoscopy, Blood tests (for H. pylori), Stool test",1-2 weeks (acute treatment)
Viral fever,"fever, headache, cold, cough, body aches","Paracetamol, Ibuprofen, Amoxicillin","Rest, Drink plenty of fluids, Avoid contact with others","Blood tests (for viral infection), Physical examination",7-14 days (acute treatment)
